destino,resenas_analizadas,sentimiento_medio,confianza_media,resenas_positivas,resenas_neutras,resenas_negativas,pct_negativas,modelo_sentimiento
Grecia Thassos,84,0.7307,0.8107,51,27,6,7.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bali vs Tailandia,84,0.5858,0.7084,32,40,12,14.29,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tánger,83,0.5858,0.769,35,29,19,22.89,cardiffnlp/twitter-xlm-roberta-base-sentiment
Phuket,82,0.4347,0.5691,15,31,36,43.9,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lago de Garda,82,0.7278,0.7967,51,23,8,9.76,cardiffnlp/twitter-xlm-roberta-base-sentiment
Barceló Bávaro,82,0.6774,0.8217,40,36,6,7.32,cardiffnlp/twitter-xlm-roberta-base-sentiment
Alcudia Mallorca,82,0.7679,0.7977,55,19,8,9.76,cardiffnlp/twitter-xlm-roberta-base-sentiment
destino sostenible Europa,81,0.749,0.7892,57,15,9,11.11,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tenerife vs Gran Canaria,81,0.6187,0.7211,30,45,6,7.41,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cabo Verde Sal,81,0.6253,0.7645,31,43,7,8.64,cardiffnlp/twitter-xlm-roberta-base-sentiment
Santa Ponsa,80,0.6957,0.7843,42,33,5,6.25,cardiffnlp/twitter-xlm-roberta-base-sentiment
Roma vacaciones,80,0.6679,0.763,36,40,4,5.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
País Vasco,80,0.6487,0.7738,35,37,8,10.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Maldives overwater villa review,80,0.7444,0.7902,50,27,3,3.75,cardiffnlp/twitter-xlm-roberta-base-sentiment
Escocia Highlands,80,0.7224,0.7918,49,24,7,8.75,cardiffnlp/twitter-xlm-roberta-base-sentiment
Aragón,80,0.5916,0.7188,30,34,16,20.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Köln,79,0.5718,0.7271,26,33,20,25.32,cardiffnlp/twitter-xlm-roberta-base-sentiment
Eslovenia Portoroz,79,0.7722,0.7869,54,22,3,3.8,cardiffnlp/twitter-xlm-roberta-base-sentiment
mejor isla griega parejas,78,0.6956,0.7393,44,29,5,6.41,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa Dorada,78,0.588,0.7548,27,39,12,15.38,cardiffnlp/twitter-xlm-roberta-base-sentiment
Corse,78,0.6105,0.7365,33,31,14,17.95,cardiffnlp/twitter-xlm-roberta-base-sentiment
Guadeloupe,77,0.6095,0.7031,28,40,9,11.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Groningen,77,0.5381,0.6034,17,47,13,16.88,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancún vs Punta Cana,77,0.5711,0.7106,27,37,13,16.88,cardiffnlp/twitter-xlm-roberta-base-sentiment
viaje aventura seguro,76,0.7148,0.8092,44,25,7,9.21,cardiffnlp/twitter-xlm-roberta-base-sentiment
Zanzíbar,76,0.6418,0.7828,38,25,13,17.11,cardiffnlp/twitter-xlm-roberta-base-sentiment
Salónica,76,0.7061,0.8262,45,22,9,11.84,cardiffnlp/twitter-xlm-roberta-base-sentiment
Omán Salalah,76,0.7697,0.8415,48,25,3,3.95,cardiffnlp/twitter-xlm-roberta-base-sentiment
Noruega fiordos,76,0.7606,0.794,49,24,3,3.95,cardiffnlp/twitter-xlm-roberta-base-sentiment
Eslovenia costa,76,0.6817,0.7516,40,28,8,10.53,cardiffnlp/twitter-xlm-roberta-base-sentiment
Canarias volcanes,76,0.6399,0.7262,41,19,16,21.05,cardiffnlp/twitter-xlm-roberta-base-sentiment
Madeira trekking,75,0.7337,0.7874,45,23,7,9.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Italia Tropea,75,0.7263,0.8263,40,33,2,2.67,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dalaman,74,0.523,0.6975,14,48,12,16.22,cardiffnlp/twitter-xlm-roberta-base-sentiment
Principado de Asturias,73,0.6685,0.782,34,32,7,9.59,cardiffnlp/twitter-xlm-roberta-base-sentiment
Playa de las Americas,73,0.6409,0.7074,32,33,8,10.96,cardiffnlp/twitter-xlm-roberta-base-sentiment
Umbria,72,0.5716,0.6904,30,24,18,25.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Eesti,72,0.61,0.7305,30,31,11,15.28,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bretagne,72,0.626,0.7251,32,24,16,22.22,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ticino,71,0.631,0.6926,33,22,16,22.54,cardiffnlp/twitter-xlm-roberta-base-sentiment
Punta Cana resort opiniones,71,0.5494,0.7599,16,48,7,9.86,cardiffnlp/twitter-xlm-roberta-base-sentiment
Provence-Alpes-Côte d’Azur,71,0.7062,0.742,37,32,2,2.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mayotte,71,0.6825,0.8179,40,19,12,16.9,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lorraine,71,0.6861,0.7321,39,23,9,12.68,cardiffnlp/twitter-xlm-roberta-base-sentiment
Campania,71,0.5897,0.6796,22,39,10,14.08,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tailandia Phuket,70,0.621,0.7479,25,39,6,8.57,cardiffnlp/twitter-xlm-roberta-base-sentiment
Crete tourism opinion,70,0.6668,0.7827,40,17,13,18.57,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cabo Verde Santo Antão,70,0.7019,0.8015,38,26,6,8.57,cardiffnlp/twitter-xlm-roberta-base-sentiment
Peloponeso,69,0.6959,0.7857,36,28,5,7.25,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ibiza playa turismo,69,0.6832,0.7837,38,22,9,13.04,cardiffnlp/twitter-xlm-roberta-base-sentiment
El Gouna,69,0.5586,0.7185,20,36,13,18.84,cardiffnlp/twitter-xlm-roberta-base-sentiment
Comunidad de Madrid,69,0.6617,0.7508,30,35,4,5.8,cardiffnlp/twitter-xlm-roberta-base-sentiment
